timestamp,evento
2025-11-10 06:25:01,entrada
2025-11-10 06:40:14,entrada
2025-11-10 06:41:09,entrada
2025-11-10 06:48:11,salida
2025-11-10 06:50:54,salida
2025-11-10 06:50:59,entrada
2025-11-10 06:57:57,salida
2025-11-10 07:04:11,salida
2025-11-10 07:25:19,salida
2025-11-10 07:42:12,salida
2025-11-10 07:59:21,salida
2025-11-10 08:21:41,salida
2025-11-10 08:23:31,salida
2025-11-10 08:28:42,salida
2025-11-10 08:42:42,salida
2025-11-10 08:44:03,salida
2025-11-10 08:44:09,salida
2025-11-10 09:00:17,entrada
2025-11-10 09:08:04,salida
2025-11-10 09:09:46,salida
2025-11-10 09:10:03,salida
2025-11-10 09:16:32,salida
2025-11-10 09:19:25,salida
2025-11-10 09:41:03,salida
2025-11-10 09:43:45,salida
2025-11-10 09:45:01,salida
2025-11-10 09:52:59,entrada
2025-11-10 09:57:06,salida
2025-11-10 10:24:00,salida
2025-11-10 10:44:21,entrada
2025-11-10 10:49:11,salida
2025-11-10 10:53:25,entrada
2025-11-10 11:01:28,entrada
2025-11-10 11:04:04,salida
2025-11-10 11:20:11,salida
2025-11-10 11:23:11,salida
2025-11-10 11:24:59,entrada
2025-11-10 11:51:46,entrada
2025-11-10 11:52:38,entrada
2025-11-10 11:55:13,salida
2025-11-10 12:04:23,salida
2025-11-10 12:36:10,entrada
2025-11-10 12:56:39,salida
2025-11-10 12:58:42,salida
2025-11-10 13:01:09,entrada
2025-11-10 13:03:40,salida
2025-11-10 13:25:35,entrada
2025-11-10 13:44:48,salida
2025-11-10 13:58:14,entrada
2025-11-10 14:08:38,salida
2025-11-10 14:11:09,entrada
2025-11-10 14:18:57,salida
2025-11-10 14:24:06,salida
2025-11-10 14:27:46,salida
2025-11-10 14:27:53,entrada
2025-11-10 14:31:47,entrada
2025-11-10 14:33:31,entrada
2025-11-10 14:34:18,salida
2025-11-10 14:42:04,entrada
2025-11-10 14:42:46,entrada
2025-11-10 15:22:30,entrada
2025-11-10 15:25:19,entrada
2025-11-10 15:53:43,salida
2025-11-10 15:57:17,entrada
2025-11-10 16:06:02,entrada
2025-11-10 16:36:14,entrada
2025-11-10 16:55:03,salida
2025-11-10 16:55:15,salida
2025-11-10 17:07:27,entrada
2025-11-10 17:09:57,entrada
2025-11-10 17:13:18,salida
2025-11-10 17:15:25,salida
2025-11-10 17:19:17,entrada
2025-11-10 17:32:44,entrada
2025-11-10 17:42:34,salida
2025-11-10 17:48:53,salida
2025-11-10 17:50:17,salida
2025-11-10 17:58:57,salida
2025-11-10 17:59:37,entrada
2025-11-10 18:13:26,entrada
2025-11-10 18:39:04,entrada
2025-11-10 18:44:11,entrada
2025-11-10 18:54:39,salida
2025-11-10 19:02:45,entrada
2025-11-10 19:08:17,entrada
2025-11-10 19:09:30,entrada
2025-11-10 19:10:56,salida
2025-11-10 19:21:15,entrada
2025-11-10 19:21:16,entrada
2025-11-10 19:22:31,entrada
2025-11-10 19:32:38,entrada
2025-11-10 19:33:09,salida
2025-11-10 19:34:09,salida
2025-11-10 19:37:57,entrada
2025-11-10 19:42:40,salida
2025-11-10 19:42:56,entrada
2025-11-10 19:52:14,entrada
2025-11-10 19:53:24,salida
2025-11-10 20:00:04,entrada
2025-11-10 20:06:25,entrada
2025-11-10 20:06:34,salida
2025-11-10 20:06:35,salida
2025-11-10 20:46:29,salida
2025-11-10 20:55:30,entrada
